MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
December,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
April,SWEDEN,Northeast Atlantic Ocean,Landslide,Event that only caused a seiche or disturbance in an inland river,,,
December,CANADA,West Coast of North and Central America,Landslide,Definite Tsunami,,,
May,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
August,ALGERIA,Mediterranean Sea,Earthquake,Probable Tsunami,,,4.0
July,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,4.1,,2.0
,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
March,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
February,ITALY,Mediterranean Sea,Earthquake,Probable Tsunami,,,3.0
May,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.2,,
July,CROATIA,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
January,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,,,2.0
February,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
December,GREECE,Mediterranean Sea,Landslide,Questionable Tsunami,,,3.0
October,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,7.5,,4.0
September,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.2,,
August,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.8,,3.0
February,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.5,,
December,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
January,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.3,,
February,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.4,,2.0
April,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
May,ITALY,Mediterranean Sea,Earthquake,Probable Tsunami,,,
June,GREECE,Mediterranean Sea,Earthquake and Landslide,Probable Tsunami,5.5,,
January,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.8,,
August,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,5.6,,
March,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,,,3.0
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.2,,
March,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,,,4.0
June,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.0,,
September,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.1,,
November,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,,,
November,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
February,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.4,,
November,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
October,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,4.0
February,ITALY,Mediterranean Sea,Volcano,Definite Tsunami,,,4.0
January,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,
,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,
April,ITALY,Mediterranean Sea,Volcano,Questionable Tsunami,,,3.0
December,FRANCE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
,ALBANIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.8,,
,ITALY,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,4.0
March,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.9,,3.0
,TUNISIA,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
October,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
September,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.4,,
April,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
May,ALGERIA,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
August,ALGERIA,Mediterranean Sea,Earthquake,Probable Tsunami,,,4.0
September,ITALY,Mediterranean Sea,Volcano and Earthquake,Questionable Tsunami,,,
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,10.0,
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.6,,
April,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,35.0,
,GREECE,Mediterranean Sea,Volcano,Very Doubtful Tsunami,,,
October,ITALY,Mediterranean Sea,Earthquake,Probable Tsunami,,,
January,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,2.0
May,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,2.0
October,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,2.0
November,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3.0
February,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,15.0,
January,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,15.0,2.0
April,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,5.0,,3.0
January,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,5.1,15.0,3.0
March,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,2.0
July,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.8,,
May,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,4.5,,
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,6.5,25.0,
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.1,10.0,
November,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.8,34.0,
April,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.2,,
September,ALGERIA,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,6.7,,
September,CYPRUS,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,
August,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.2,,
August,NICARAGUA,West Coast of North and Central America,Earthquake and Landslide,Very Doubtful Tsunami,6.0,100.0,
August,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,5.3,100.0,3.0
February,ALBANIA,Mediterranean Sea,Earthquake,Probable Tsunami,6.7,,
October,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,5.9,,3.0
September,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,15.0,4.0
November,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
January,ALGERIA,Mediterranean Sea,Earthquake,Probable Tsunami,,,
April,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,2.0
August,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.0,,4.0
March,ITALY,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
July,ITALY,Mediterranean Sea,Earthquake,Probable Tsunami,,,5.0
,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.3,,
November,GREENLAND,Northwest Atlantic Ocean,Landslide,Definite Tsunami,,,
April,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Very Doubtful Tsunami,,,
August,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,5.5,,
April,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,5.5,,
January,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,4.8,,
February,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.2,,
September,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.8,10.0,
December,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.3,,
December,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.0,,
January,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,5.5,,
,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,4.8,,
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,22.0,
March,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,5.5,,
December,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Questionable Tsunami,,,
June,FRANCE,Mediterranean Sea,Questionable Earthquake,Questionable Tsunami,,,
August,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,,,
December,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,7.8,17.0,
November,GHANA,West Coast of Africa,Earthquake,Probable Tsunami,5.0,,
July,TURKMENISTAN,Black Sea and Caspian Sea,Earthquake,Questionable Tsunami,8.2,30.0,
July,IRAN,Black Sea and Caspian Sea,Earthquake,Probable Tsunami,7.2,10.0,
June,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,7.5,,
July,GHANA,West Coast of Africa,Earthquake,Questionable Tsunami,6.5,,
September,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,8.0,,
August,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.0,,
April,IRAN,Black Sea and Caspian Sea,Earthquake,Probable Tsunami,7.6,,
December,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,8.0,,
December,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
,SYRIA,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
April,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,
January,NORWAY,Northeast Atlantic Ocean,Landslide,Event that only caused a seiche or disturbance in an inland river,,,
September,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,
April,IRAN,Red Sea and Persian Gulf,Earthquake,Questionable Tsunami,6.5,,
,CONGO,West Coast of Africa,Earthquake,Questionable Tsunami,6.2,,
,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,
October,USA,"East Coast USA and Canada, St Pierre and Miquelon",Meteorological,Probable Tsunami,,,
November,KENYA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,,,
January,CONGO,Central Africa,Volcano,Event that only caused a seiche or disturbance in an inland river,,,
July,EGYPT,Red Sea and Persian Gulf,Earthquake,Probable Tsunami,5.9,,
April,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,6.4,32.0,
March,EGYPT,Red Sea and Persian Gulf,Earthquake,Probable Tsunami,7.0,,
May,ALGERIA,Mediterranean Sea,Earthquake,Definite Tsunami,5.7,8.0,
February,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,
July,ERITREA,Red Sea and Persian Gulf,Earthquake,Definite Tsunami,6.2,,
December,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.0,10.0,
January,SUDAN,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
February,GREECE,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
February,SPAIN,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
September,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.2,35.0,
December,KERMADEC ISLANDS,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.8,153.0,
September,JAPAN,Japan,Earthquake,Definite Tsunami,6.8,25.0,
May,TOGO,West Coast of Africa,Earthquake,Probable Tsunami,,,
May,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,7.9,19.0,
August,USA,Alaska (including Aleutian Islands),Volcano,Definite Tsunami,,,
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.3,30.0,
August,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.0,,6.0
May,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.2,,
February,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.2,,
August,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,5.9,,2.0
January,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,8.2,30.0,
July,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,
November,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.7,,
January,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.0,,2.0
October,BULGARIA,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
May,PERU,West Coast of South America,Earthquake,Questionable Tsunami,8.0,,
November,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
October,GEORGIA,Black Sea and Caspian Sea,Earthquake,Very Doubtful Tsunami,7.5,60.0,
November,ATLANTIC OCEAN,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,8.3,,2.0
March,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.0,70.0,3.0
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.6,17.0,
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.3,23.0,
February,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.6,,
January,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.4,36.0,
February,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.2,22.0,
,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,3.0
,GEORGIA,Black Sea and Caspian Sea,Earthquake,Very Doubtful Tsunami,5.5,,
March,BULGARIA,Black Sea and Caspian Sea,Earthquake,Very Doubtful Tsunami,7.2,,
,BULGARIA,Black Sea and Caspian Sea,Earthquake,Questionable Tsunami,,,
,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,
April,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,4.6,7.0,2.0
March,ITALY,Mediterranean Sea,Landslide,Definite Tsunami,,,
September,SPAIN,Mediterranean Sea,Earthquake,Probable Tsunami,,,
,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,6.0
May,BULGARIA,Black Sea and Caspian Sea,Landslide,Questionable Tsunami,,,
March,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,4.0
January,NORWAY,Northeast Atlantic Ocean,Earthquake,Questionable Tsunami,5.1,,
May,UKRAINE,Black Sea and Caspian Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,6.5,,
November,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
May,NORWAY,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,,,3.0
December,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Questionable Tsunami,,,
May,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,4.0
August,ITALY,Mediterranean Sea,Volcano,Definite Tsunami,,,4.0
February,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,6.0
May,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,3.0
April,NORWAY,Northeast Atlantic Ocean,Landslide,Probable Tsunami,,,3.0
October,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,3.0
January,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,6.0
December,UKRAINE,Black Sea and Caspian Sea,Earthquake,Very Doubtful Tsunami,,,
October,NORWAY,Northeast Atlantic Ocean,Landslide,Event that only caused a seiche or disturbance in an inland river,,,
August,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,2.0
August,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,4.0
March,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,2.0
October,SPAIN,Mediterranean Sea,Earthquake,Definite Tsunami,,,3.0
June,SPAIN,Northeast Atlantic Ocean,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
January,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,2.0
May,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,3.0
February,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,2.0
April,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,4.0
January,SPAIN,Mediterranean Sea,Earthquake,Definite Tsunami,,,2.0
June,UK,Northeast Atlantic Ocean,Earthquake,Questionable Tsunami,6.0,70.0,
June,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
October,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,5.9,,4.0
May,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,6.5,16.0,1.0
January,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,6.9,13.0,1.0
March,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.6,34.0,
August,SPAIN,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,4.4,30.0,1.0
,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,6.7,,
,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
January,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.0,,
September,TURKEY,Mediterranean Sea,Earthquake,Definite Tsunami,6.1,,3.0
May,UK TERRITORY,Southeast Atlantic Ocean,Earthquake,Questionable Tsunami,,,
April,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,3.0
September,ITALY,Mediterranean Sea,Volcano,Definite Tsunami,,,3.0
December,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.5,,
October,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.6,45.0,
May,HONDURAS,Caribbean Sea,Earthquake,Definite Tsunami,7.3,10.0,
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.5,81.0,
August,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,6.7,20.0,
August,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.5,5.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,40.0,
July,ISRAEL,Mediterranean Sea,Earthquake,Questionable Tsunami,6.3,,
July,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.8,12.0,
September,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.1,18.0,
March,COOK ISLANDS,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,,,
January,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.6,26.0,
January,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,25.0,
February,JORDAN,Mediterranean Sea,Earthquake,Definite Tsunami,5.3,27.0,
January,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.8,15.0,
,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Probable Tsunami,,,
January,HAITI,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.0,13.0,
February,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.8,23.0,
May,HAITI,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.8,31.0,
August,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Very Doubtful Tsunami,,,
March,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.9,11.0,
February,JAPAN,Japan,Earthquake,Probable Tsunami,7.0,25.0,
April,PERU,West Coast of South America,Landslide,Event that only caused a seiche or disturbance in an inland river,,,
November,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,,,
May,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Definite Tsunami,,,
November,AUSTRALIA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,,,
November,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,,,
September,GUATEMALA,West Coast of North and Central America,Questionable Earthquake,Very Doubtful Tsunami,,,
August,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,
February,GUADELOUPE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Probable Tsunami,5.8,12.0,
January,AUSTRALIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,
November,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.2,90.0,
January,GUATEMALA,West Coast of North and Central America,Questionable Earthquake,Very Doubtful Tsunami,6.3,,
April,GUATEMALA,West Coast of North and Central America,Earthquake,Event that only caused a seiche or disturbance in an inland river,7.5,33.0,
June,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.5,35.0,
December,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,,,
October,NICARAGUA,West Coast of North and Central America,Earthquake,Probable Tsunami,7.0,,
June,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,8.7,,
December,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.8,33.0,
November,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,
July,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,,,
August,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.2,25.0,
May,BANGLADESH,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,
August,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,6.9,10.0,
,SPAIN,Northeast Atlantic Ocean,Earthquake,Questionable Tsunami,,,
June,URUGUAY,Southwest Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
October,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.8,20.0,
December,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,14.0,
January,USA,"East Coast USA and Canada, St Pierre and Miquelon",Meteorological,Very Doubtful Tsunami,,,
December,ITALY,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,
December,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,16.0,
February,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Questionable Tsunami,6.1,6.0,
February,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.8,28.0,
August,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.8,,0.0
February,MEXICO,Caribbean Sea,Earthquake,Questionable Tsunami,,,
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,32.0,
March,PERU,West Coast of South America,Earthquake,Questionable Tsunami,8.4,30.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,9.1,30.0,
,JAPAN,Japan,Earthquake,Probable Tsunami,,,2.0
March,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.4,29.0,
October,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,
June,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,7.6,,
January,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.5,24.0,
May,JAPAN,Japan,Earthquake,Probable Tsunami,6.6,,-3.0
July,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,23.0,
June,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.3,52.0,
December,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,7.0,,
August,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,6.3,16.0,
May,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,6.5,16.0,
July,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.6,17.0,
February,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,6.9,,
November,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,7.6,,
June,UK,Northeast Atlantic Ocean,Meteorological,Questionable Tsunami,,,
August,NORWAY,Northeast Atlantic Ocean,Landslide,Probable Tsunami,,,
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,42.0,
July,NORWAY,Northeast Atlantic Ocean,Landslide,Probable Tsunami,,,
August,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.0,28.0,
August,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,32.0,
September,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,6.8,32.0,
November,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Very Doubtful Tsunami,7.4,156.0,
February,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.6,26.0,
October,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.4,33.0,
March,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.4,20.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,12.0,
January,EL SALVADOR,West Coast of North and Central America,Earthquake,Probable Tsunami,7.7,60.0,
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,8.6,20.0,
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,8.2,25.0,
April,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.3,11.0,
January,JAPAN,Japan,Earthquake,Probable Tsunami,,,
February,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.0,23.0,
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,8.6,33.0,1.0
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.5,150.0,0.5
October,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,8.1,33.0,1.5
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,0.0
