MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
April,CROATIA,Mediterranean Sea,Earthquake,Questionable Tsunami,7.2,,4.0
November,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,8.0,,
November,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.9,,3.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,1.0
May,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,
September,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.5,,1.5
,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
July,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.7,,1.5
July,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,60.0,3.5
April,UK,Northeast Atlantic Ocean,Earthquake,Event that only caused a seiche or disturbance in an inland river,6.2,33.0,
September,VENEZUELA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
January,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,7.7,,
March,ITALY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,10.0,3.0
September,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,7.7,,3.0
May,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.1,,3.0
March,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.8,,3.0
May,SYRIA,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.6,,5.0
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,2.0
January,SYRIA,Mediterranean Sea,Earthquake,Questionable Tsunami,7.0,,3.0
October,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.3,,3.0
December,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.0,,
July,TURKEY,Mediterranean Sea,Earthquake,Definite Tsunami,7.8,,3.0
May,JORDAN,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,4.1,,3.0
June,CYPRUS,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.3,,4.0
September,VENEZUELA,Caribbean Sea,Earthquake,Definite Tsunami,,,
,JAPAN,Japan,Volcano,Definite Tsunami,,,1.0
July,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Probable Tsunami,,,1.5
January,USA,West Coast of North and Central America,Earthquake,Definite Tsunami,9.0,,
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,2.5
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.0,,1.5
October,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,,,4.0
July,NORTH KOREA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.4,,1.5
May,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,2.0
May,CHILE,West Coast of South America,Earthquake,Probable Tsunami,,,1.5
September,JAPAN,Japan,Earthquake and Landslide,Probable Tsunami,6.4,,1.0
July,CHILE,West Coast of South America,Earthquake,Definite Tsunami,9.1,,3.5
April,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,,2.0
March,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.0,,2.5
November,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,30.0,3.5
December,SYRIA,Mediterranean Sea,Earthquake,Definite Tsunami,,,4.0
May,JAPAN,Japan,Earthquake,Probable Tsunami,6.4,,1.0
May,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.5,,3.5
,SYRIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,6.0
,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Questionable Tsunami,,,3.5
,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,4.0
July,JAPAN,Japan,Volcano,Definite Tsunami,6.5,,1.5
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1.0
August,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.8,,1.5
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,2.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,1.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,,2.5
October,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1.0
December,JAPAN,Japan,Earthquake,Questionable Tsunami,7.5,,1.0
February,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.2,,1.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,8.2,,1.0
August,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,,,
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,8.0,,4.0
August,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.9,,1.0
June,JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1.0
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.0,,4.0
,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.8,,4.0
June,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,,5.0
,GREECE,Mediterranean Sea,Volcano,Definite Tsunami,,,6.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,1.0
April,BANGLADESH,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,,,
May,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.8,,3.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,3.0
July,JAPAN,Japan,Volcano,Definite Tsunami,6.5,,1.0
September,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,,1.0
September,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,6.9,,2.0
October,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.0,,3.5
January,ISRAEL,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,3.0
September,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,2.0
May,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,,3.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,3.0
March,ISRAEL,Red Sea and Persian Gulf,Earthquake,Probable Tsunami,,,4.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,8.6,,3.0
July,JAPAN,Japan,Earthquake,Definite Tsunami,8.6,,4.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,1.0
,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.0,,3.0
,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.3,,5.0
July,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,8.0,70.0,4.0
February,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.3,,3.0
December,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.5,,2.5
February,JAPAN,Japan,Earthquake,Definite Tsunami,7.9,,3.0
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,,4.0
October,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,30.0,3.5
June,JAMAICA,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.7,,
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.2,,3.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,4.0
October,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.0,30.0,3.5
May,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,6.6,,1.0
November,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Definite Tsunami,8.5,,
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1.0
August,JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1.0
June,JAPAN,Japan,Earthquake,Probable Tsunami,7.5,,3.0
October,JAPAN,Japan,Earthquake,Probable Tsunami,7.0,,2.5
February,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,6.8,40.0,1.5
September,JAPAN,Japan,Earthquake,Definite Tsunami,8.3,,4.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,2.0
April,JAPAN,Japan,Landslide,Questionable Tsunami,,,2.0
August,JAPAN,Japan,Volcano,Definite Tsunami,6.9,,2.5
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,0.0
March,CROATIA,Mediterranean Sea,Earthquake,Questionable Tsunami,,,2.0
January,NORTHWEST PACIFIC OCEAN,"China, North and South Korea, Philippines, Taiwan",Volcano,Very Doubtful Tsunami,,,
July,USA,Alaska (including Aleutian Islands),Volcano,Very Doubtful Tsunami,,,
December,FRANCE,Mediterranean Sea,Questionable Earthquake,Questionable Tsunami,,,
,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,1.0
September,CROATIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,,4.0
July,USA,Alaska (including Aleutian Islands),Earthquake,Very Doubtful Tsunami,,,
September,JAPAN,Japan,Volcano,Definite Tsunami,,,1.0
February,CHILE,West Coast of South America,Volcano and Earthquake,Very Doubtful Tsunami,,,
May,USA,Alaska (including Aleutian Islands),Volcano,Very Doubtful Tsunami,,,
March,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.0,,4.0
July,RUSSIA,Kamchatka and Kuril Islands,Volcano,Definite Tsunami,,,
July,JAPAN,Japan,Landslide,Very Doubtful Tsunami,,,0.0
,NORTHWEST PACIFIC OCEAN,"China, North and South Korea, Philippines, Taiwan",Volcano,Very Doubtful Tsunami,,,
May,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.3,,2.0
October,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Volcano,Very Doubtful Tsunami,,,
February,GUADELOUPE (FRENCH TERRITORY),Caribbean Sea,Volcano,Very Doubtful Tsunami,,,
October,JAPAN,Japan,Volcano,Definite Tsunami,,,1.0
February,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
November,JAPAN,Japan,Volcano,Definite Tsunami,,,
September,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Very Doubtful Tsunami,,,
November,SWEDEN,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
October,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
January,GREECE,Mediterranean Sea,Volcano and Earthquake,Very Doubtful Tsunami,6.1,,
October,USA,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,0.0
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,1.0
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,0.0
,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,1.0
April,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,1.0
August,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,0.0
November,BANGLADESH,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,6.0,,
December,SOUTH AFRICA,West Coast of Africa,Earthquake,Very Doubtful Tsunami,,,
February,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.0,,4.0
August,NORWAY,Northeast Atlantic Ocean,Earthquake,Probable Tsunami,5.8,,
January,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,,40.0,0.0
November,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.0,,3.0
,USA,Alaska (including Aleutian Islands),Meteorological,Very Doubtful Tsunami,,,1.0
May,USA,West Coast of North and Central America,Earthquake and Landslide,Definite Tsunami,5.9,,
February,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,5.5,,-1.0
August,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,8.5,,
July,FRENCH POLYNESIA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,,,0.5
August,RUSSIA,Kamchatka and Kuril Islands,Volcano and Earthquake,Probable Tsunami,,,1.5
March,USA,Alaska (including Aleutian Islands),Volcano,Questionable Tsunami,,,0.5
October,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,,,
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,0.5
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,8.5,600.0,2.0
August,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,,,
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,
May,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,7.3,,1.0
July,CUBA,Caribbean Sea,Questionable Earthquake,Questionable Tsunami,,,
September,USA,Alaska (including Aleutian Islands),Earthquake,Questionable Tsunami,,,
March,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,6.0,,0.5
December,EL SALVADOR,West Coast of North and Central America,Earthquake,Probable Tsunami,7.0,,1.5
July,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.3,,1.5
May,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.2,,2.0
June,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.3,,
February,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,0.5
May,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake and Landslide,Probable Tsunami,7.0,,1.5
December,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,0.0
August,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,0.0
November,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,7.0,,1.0
February,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,1.0
September,JAPAN,Japan,Earthquake,Probable Tsunami,6.4,,0.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,
November,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,2.0
February,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
January,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
October,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.5
October,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,0.5
September,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.5
May,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,,,
May,USA,Alaska (including Aleutian Islands),Earthquake,Questionable Tsunami,,,2.5
March,USA TERRITORY,Caribbean Sea,Earthquake,Probable Tsunami,,,
September,VENEZUELA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,7.5,,
November,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.0,,3.0
August,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.5,,1.0
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,2.0
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.5,,1.5
June,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.8,,0.5
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.0,70.0,1.5
October,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,0.0
April,PERU,West Coast of South America,Earthquake,Probable Tsunami,,,0.0
April,HAITI,Caribbean Sea,Earthquake,Definite Tsunami,7.5,,
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.8,,0.5
August,EL SALVADOR,West Coast of North and Central America,Earthquake,Probable Tsunami,6.2,,1.5
